/homes/bioinfo/bionano/Trib_cast_0002_september_2014/ncbi/pre_Tcas5.2_2.fasta to /homes/bioinfo/bionano/Trib_cast_0002_september_2014/ncbi/Tcas5.2_scaffolds.fasta
scaffold_444	scaffold_seqid386
scaffold_445	scaffold_seqid387
scaffold_446	scaffold_seqid388
scaffold_447	scaffold_seqid389
scaffold_448	scaffold_seqid390
scaffold_449	scaffold_seqid391
scaffold_450	scaffold_seqid392
scaffold_451	scaffold_seqid393
scaffold_452	scaffold_seqid394
scaffold_453	scaffold_seqid395
scaffold_454	scaffold_seqid396
scaffold_455	scaffold_seqid397
scaffold_456	scaffold_seqid398
scaffold_457	scaffold_seqid399
scaffold_458	scaffold_seqid400
scaffold_459	scaffold_seqid401
scaffold_460	scaffold_seqid402
scaffold_461	scaffold_seqid403
scaffold_462	scaffold_seqid404
scaffold_463	scaffold_seqid405
scaffold_464	scaffold_seqid406
scaffold_465	scaffold_seqid407
scaffold_466	scaffold_seqid408
scaffold_467	scaffold_seqid409
scaffold_468	scaffold_seqid410
scaffold_469	scaffold_seqid411
scaffold_470	scaffold_seqid412
scaffold_471	scaffold_seqid413
scaffold_472	scaffold_seqid414
scaffold_473	scaffold_seqid415
scaffold_474	scaffold_seqid416
scaffold_475	scaffold_seqid417
scaffold_476	scaffold_seqid418
scaffold_477	scaffold_seqid419
scaffold_478	scaffold_seqid420
scaffold_479	scaffold_seqid421
scaffold_480	scaffold_seqid422
scaffold_481	scaffold_seqid423
scaffold_482	scaffold_seqid424
scaffold_483	scaffold_seqid425
scaffold_484	scaffold_seqid426
scaffold_485	scaffold_seqid427
scaffold_486	scaffold_seqid428
scaffold_487	scaffold_seqid429
scaffold_488	scaffold_seqid430
scaffold_489	scaffold_seqid431
scaffold_490	scaffold_seqid432
scaffold_491	scaffold_seqid433
scaffold_492	scaffold_seqid434
scaffold_493	scaffold_seqid435
scaffold_494	scaffold_seqid436
scaffold_495	scaffold_seqid437
scaffold_496	scaffold_seqid438
scaffold_497	scaffold_seqid439
scaffold_498	scaffold_seqid440
scaffold_499	scaffold_seqid441
scaffold_500	scaffold_seqid442
scaffold_501	scaffold_seqid443
scaffold_503	scaffold_seqid444
scaffold_504	scaffold_seqid445
scaffold_505	scaffold_seqid446
scaffold_506	scaffold_seqid447
scaffold_507	scaffold_seqid448
scaffold_508	scaffold_seqid449
scaffold_509	scaffold_seqid450
scaffold_510	scaffold_seqid451
scaffold_511	scaffold_seqid452
scaffold_512	scaffold_seqid453
scaffold_513	scaffold_seqid454
scaffold_514	scaffold_seqid455
scaffold_515	scaffold_seqid456
scaffold_516	scaffold_seqid457
scaffold_517	scaffold_seqid458
scaffold_518	scaffold_seqid459
scaffold_519	scaffold_seqid460
scaffold_520	scaffold_seqid461
scaffold_521	scaffold_seqid462
scaffold_522	scaffold_seqid463
scaffold_523	scaffold_seqid464
scaffold_524	scaffold_seqid465
scaffold_525	scaffold_seqid466
scaffold_526	scaffold_seqid467
scaffold_527	scaffold_seqid468
scaffold_528	scaffold_seqid469
scaffold_529	scaffold_seqid470
scaffold_530	scaffold_seqid471
scaffold_531	scaffold_seqid472
scaffold_532	scaffold_seqid473
scaffold_533	scaffold_seqid474
scaffold_534	scaffold_seqid475
scaffold_535	scaffold_seqid476
scaffold_536	scaffold_seqid477
scaffold_537	scaffold_seqid478
scaffold_538	scaffold_seqid479
scaffold_539	scaffold_seqid480
scaffold_540	scaffold_seqid481
scaffold_541	scaffold_seqid482
scaffold_542	scaffold_seqid483
scaffold_543	scaffold_seqid484
scaffold_544	scaffold_seqid485
