/homes/bioinfo/bionano/Trib_cast_0002_september_2014/ncbi/pre_Tcas5.2_2.fasta_contig.fasta to /homes/bioinfo/bionano/Trib_cast_0002_september_2014/ncbi/Tcas5.2_contigs.fasta
Contig_571	contig_seqid571
Contig_572	contig_seqid572
Contig_573	contig_seqid573
Contig_574	contig_seqid574
Contig_575	contig_seqid575
Contig_576	contig_seqid576
Contig_577	contig_seqid577
Contig_578	contig_seqid578
Contig_579	contig_seqid579
Contig_580	contig_seqid580
Contig_581	contig_seqid581
Contig_582	contig_seqid582
Contig_583	contig_seqid583
Contig_584	contig_seqid584
Contig_585	contig_seqid585
Contig_586	contig_seqid586
Contig_587	contig_seqid587
Contig_588	contig_seqid588
Contig_589	contig_seqid589
Contig_590	contig_seqid590
Contig_591	contig_seqid591
Contig_592	contig_seqid592
Contig_593	contig_seqid593
Contig_594	contig_seqid594
Contig_595	contig_seqid595
Contig_596	contig_seqid596
Contig_597	contig_seqid597
Contig_598	contig_seqid598
Contig_599	contig_seqid599
Contig_600	contig_seqid600
Contig_601	contig_seqid601
Contig_602	contig_seqid602
Contig_603	contig_seqid603
Contig_604	contig_seqid604
Contig_605	contig_seqid605
Contig_606	contig_seqid606
Contig_607	contig_seqid607
Contig_608	contig_seqid608
Contig_609	contig_seqid609
Contig_610	contig_seqid610
Contig_611	contig_seqid611
Contig_612	contig_seqid612
Contig_613	contig_seqid613
Contig_614	contig_seqid614
Contig_615	contig_seqid615
Contig_616	contig_seqid616
Contig_617	contig_seqid617
Contig_618	contig_seqid618
Contig_619	contig_seqid619
Contig_620	contig_seqid620
Contig_621	contig_seqid621
Contig_622	contig_seqid622
Contig_623	contig_seqid623
Contig_624	contig_seqid624
Contig_625	contig_seqid625
Contig_626	contig_seqid626
Contig_627	contig_seqid627
Contig_628	contig_seqid628
Contig_629	contig_seqid629
Contig_630	contig_seqid630
Contig_631	contig_seqid631
Contig_632	contig_seqid632
Contig_633	contig_seqid633
Contig_634	contig_seqid634
Contig_635	contig_seqid635
Contig_636	contig_seqid636
Contig_637	contig_seqid637
Contig_638	contig_seqid638
Contig_639	contig_seqid639
Contig_640	contig_seqid640
Contig_641	contig_seqid641
Contig_642	contig_seqid642
Contig_643	contig_seqid643
Contig_644	contig_seqid644
Contig_645	contig_seqid645
Contig_646	contig_seqid646
Contig_647	contig_seqid647
Contig_648	contig_seqid648
Contig_649	contig_seqid649
Contig_650	contig_seqid650
Contig_651	contig_seqid651
Contig_652	contig_seqid652
Contig_653	contig_seqid653
Contig_654	contig_seqid654
Contig_655	contig_seqid655
Contig_656	contig_seqid656
Contig_657	contig_seqid657
Contig_658	contig_seqid658
Contig_659	contig_seqid659
Contig_660	contig_seqid660
Contig_661	contig_seqid661
Contig_662	contig_seqid662
Contig_663	contig_seqid663
Contig_664	contig_seqid664
Contig_665	contig_seqid665
Contig_666	contig_seqid666
Contig_667	contig_seqid667
Contig_668	contig_seqid668
Contig_669	contig_seqid669
Contig_670	contig_seqid670
Contig_671	contig_seqid671
Contig_672	contig_seqid672
Contig_673	contig_seqid673
Contig_674	contig_seqid674
Contig_675	contig_seqid675
Contig_676	contig_seqid676
Contig_677	contig_seqid677
Contig_678	contig_seqid678
Contig_679	contig_seqid679
Contig_680	contig_seqid680
Contig_681	contig_seqid681
Contig_682	contig_seqid682
Contig_683	contig_seqid683
Contig_684	contig_seqid684
Contig_685	contig_seqid685
Contig_686	contig_seqid686
Contig_687	contig_seqid687
Contig_688	contig_seqid688
Contig_689	contig_seqid689
Contig_690	contig_seqid690
Contig_691	contig_seqid691
Contig_692	contig_seqid692
Contig_693	contig_seqid693
Contig_694	contig_seqid694
Contig_695	contig_seqid695
Contig_696	contig_seqid696
Contig_697	contig_seqid697
Contig_698	contig_seqid698
Contig_699	contig_seqid699
Contig_700	contig_seqid700
Contig_701	contig_seqid701
Contig_702	contig_seqid702
Contig_703	contig_seqid703
Contig_704	contig_seqid704
Contig_705	contig_seqid705
Contig_706	contig_seqid706
